name,description,user_per_month,cost_per_user_per_month,category,sub_category
SAP Analytics Cloud,"SAP Analytics Cloud is a single cloud solution for Business Intelligence and organizational planning, enhanced with the power of predictive analytics and machine learning technology.SAP Analytics Cloud enables analysts to create dynamic visual stories based on your key business areas with trusted data that is managed by IT.

Make better decisions by interacting with visualizations, drilling down for more detailed information, and answering business questions on the fly.SAP Analytics Cloud seamlessly integrates with your data and planning solutions to simplify your analytics landscape. Connect to data from multiple different sources and visually analyze your information to see the full picture of your business and make better-informed decisions.Drive better business outcomes with collaborative enterprise planning in one simple cloud solution. By aligning strategic, financial, and operational planning in SAP Analytics Cloud, organizations gain full alignment across all business areas.Collaborative enterprise planning empowers you to make the best fact-based, end-to-end plan possible for your business. Create and modify versions of your planning data to drive better budgeting, forecasting, and analysis for the future of your business.
Provision your SAP Analytics Cloud tenant via self-service and embed business intelligence with a unified user experience into your business application.
Explore business data through a live connection between SAP Analytics Cloud and the SAP HANA database on SAP Cloud Platform.
Provide predefined reporting and personalized access to data and ad-hoc analytics seamlessly embedded into applications.
Build applications by adopting advanced in-memory technology that delivers real-time intelligence and analytics, operating on data persisted in SAP HANA.",,,Analytics,N/A
SAP Audit Management,"Streamline internal auditing with mobile capabilities to simplify activities such as documentation of evidence, organization of electronic working papers, and creation of audit reports. You can improve audit quality and provide trusted insight and advice by aligning the entire business on key risks and controls",,,Analytics, Compliance Software
SAP Business Objects Business Intelligence Suite,"Share insights and make better decisions with the SAP BusinessObjects Business Intelligence (BI) suite. By providing a flexible architecture, our analytics platform can support your growth – from a few users to tens of thousands of users, and from a single tool to multiple tools and interfaces.

On-premise deployment
Real-time business intelligence 
Increased user autonomy
Make information consumption simple, personalised, and dynamic. Support the changing needs of your business
Leverage the latest business intelligence technologies and a broad array of data sources using a flexible and scalable platform to ensure decision makings have real-time BI access.
A wrench representing tools
Access comprehensive business intelligence tools
Transform your data into useful information and deliver it to the people who need it most, with an extensive suite of business intelligence applications.
Building with a cloud representing cloud and on premise
Optimise performance across hybrid landscapes
Leave the data where it is while bringing cloud analytics to on-premise data to achieve better business agility using a live data connection in a hybrid analytic strategy. Reporting and analysis
Enable all business users to understand trends and root causes with easy-to-use BI tools for ad hoc queries, reporting, and analysis in a Web environment.
Data visualisation and analytics applications
Build impactful BI visualisation, dashboards, and analytics applications to assess risk, improve efficiencies, highlight unique insights, and identify opportunities.

Office integration
Use intuitive tools to filter and manipulate data, identify trends and outliers from within Microsoft Excel, and share findings in live Microsoft PowerPoint presentations.",,,Analytics,Compliance Software
SAP Edge Services,"SAP Edge Services deploys powerful microservices at the edge – with robust offline capabilities that can help you gain domain-specific insights, monitor real-time events and actions, and execute enterprise business processes locally – even with intermittent connectivity.Simplify the User Experience:
Optimize local work flows to enhance the user experience and boost worker productivity quickly processing events locally accelerating performance.Extend your intelligent enterprise to the edge to run high-performance business processes uninterrupted and without dependency on bandwidth, connectivity, or latency.Process and analyze data at the intelligent edge, even when resources are not connected to a network, enabling real-time decision-making and agile responses",,,Analytics,N/A
SAP Crystal Reports,"SAP Crystal Reports turns almost any data source into interactive, actionable information that can be accessed offline or online, from applications, portals and mobile devices.Crystal Reports can access data stored in almost any common database format, as well as many uncommon formats. Data sources include: Microsoft Office (including Microsoft Excel and Microsoft Access), SQL, Native, ODBC, OLE DB, and JDBC connectivity to relational, OLAP, Web services, XML, enterprise data sources, and Salesforce.com. Speed up report design using features such as global formula search, duplicate formula, duplicate running total, a ""find-in-field"" explorer, and more.",,,Analytics,N/A
SAP Lumira,"Harness data company-wide so you can gain and share unprecedented insight to compete boldly in today’s digital economy. SAP Lumira software combines self-service BI discovery and visualisation with interactive dashboards and analytic applications – all in one solution that rapidly promotes insight across the organisation. On-premise and cloud deployment
Single, simple design canvas that fosters collaboration between the business and IT and speeds adoption
Inclusive self-service analytics across every line of business
Real-time performance and insight with an optimised solution.Bring business and IT teams together.Deliver faster insights easier, with a simple interface for self-service data visualisation, data connectivity, and advanced development tools.Optimised access to governed secure data
Enable IT to manage, govern, and deliver fresh data to business users to uncover hidden insights in real-time and drive decision-making, eliminating the need for shadow IT.Explore beyond BI visualisation, in the cloud.
Integrate on-premise data discovery, dashboards, and analytic applications with business user access to all analytics across the organisation using SAP Analytics Hub.Tell the story with self-service data visualisation
Explore and analyse data online with a simple-to-use solution. Create stories with BI visualisations from all types of data that others can leverage, build on, and share.
Create analytics applications and dashboards
Develop interactive, mobile-ready dashboards and analytics applications to collaborate with users and their data stories and provide fingertip access to actionable insight.
Secure trusted access and scalability
Connect to data anytime, anywhere for deeper insights and informed decision-making on the go. Explore data with filters, drill-down capabilities, and hierarchal navigation.",,,Analytics,N/A
SAP DigitalBoardroom,"Give top decision makers real-time, digital-enterprise insight into integrated line-of-business data from SAP and third-party applications.With SAP Digital Boardroom, users can more readily monitor, simulate, and support business change to meet the expectations of your customers, business partners, and employees.
Cloud deployment.
One source of truth across all business areas.
Fast response to business and customer demands.
Touchscreen access to in-context visualisations.Improve institutional knowledge
Foster trust among business leaders with a complete 360-degree, real-time view of cross-departmental situations and metrics.Make fast, confident decisions.
Improve decisions by accessing accurate information, answering ad hoc queries, and analysing alternatives and implications.Streamline business meetings.
Simplify the boardroom process by reducing preparation time and offline topics with collaboration tools that leverage expert knowledge.Intelligent meetings:
Transform steering meetings with a unique user experience that supports interactive insights for better outcomes
Support collaborative decision-making with interactive data visualisations with responsive layouts
Reduce preparation effort with a freeform presentation that meets your organisational structure.Planning and simulation:
Use ad hoc and what-if analysis to explore alternative courses of action and compare the impact of potential decisions.
Gain an understanding of the drivers and relationships in planning and simulation models.
Assess the sensitivity of information quickly and accurately.Instant data-driven insights:
Answer ad hoc questions on the fly with powerful analytics and a simple, intuitive user interface
Simulate the impact of finance and operations decisions and decide with confidence
Uncover hidden insights and make better decisions faster with smart assistance features.Best-practice business content:
Speed time to value with predefined queries, data models, visualisations, and best practices
Use proven frameworks for corporate performance management
Integrate seamlessly with SAP S/4HANA and SAP BW/4HANA as well as SAP SuccessFactors, SAP Hybris, SAP Ariba, and SAP Concur solutions",,,Analytics,N/A
Tableau Server,"Tableau Server is an enterprise analytics platform that is easy to deploy and scale and helps enable data-driven decision making throughout your organization.
 
Deploy the way that makes the most sense for your organization - on-premises or in the cloud, on Windows or Linux, while integrating with your existing security and authentication protocols. Provide governed data access while promoting sharing and collaboration with data, dashboards and insights, all with the scalability and security requirements you require. Automate processes and workflows, manage content, define access for individual users and groups, and ensure accurate insights. Tableau Server gives you the visibility, security and controls you need to empower your people with data.
 
Tableau helps people and organizations become more data-driven. With an integrated platform that is easy to start and scale, Tableau supports the entire analytics journey, from data preparation, to deep analysis, to the shared insights that drive the business forward.",,,Anlalytics,N/A
Microstrategy,"The MicroStrategy platform offers a complete set of business intelligence and analytics capabilities that enable organizations of any size or maturity to get value from their business data. Organizations use MicroStrategy to build and deploy analytical and data discovery applications in the form of personalized reports, real-time dashboards, pixel-perfect documents, mobile applications, and more. These applications can be accessed and shared across Web, Desktop, and Mobile interfaces. Product Highlights: - Visualizations, charts, and graphs for data discovery: MicroStrategy comes with a large, flexible, and easily extensible library of interactive graphs, advanced visualizations, and maps that make it easy to understand and interpret information. - Pixel-perfect reports and dashboards: With MicroStrategy organizations can create personalized dashboards and reports for every employee and deploy them via web, desktop, tablet, or smartphone. MicroStrategy offers real-time analytics, custom branding, automated distribution and delivery, and enables companies to embed dashboards into custom portals or other business applications. - Heterogenous data access: MicroStrategy offers native connectors and drivers to hundreds of data sources that include personal spreadsheets, relational databases, cloud applications like Salesforce, MDX sources, and many more. Users can easily blend and consume data from across any of these sources without enlisting the help of IT. - Data preparation: Our native data wrangling feature empowers business users to reformat and modify their data with an extensive set of parsing and data preparation capabilities. - Predictive analytics and R models: MicroStrategy provides an extensive library of native analytical functions and scoring algorithms, alongside the ability to integrate with 3rd-party and open-source statistical and data mining products like R, SPSS, and SAS. - Mobile analytics: MicroStrategy lets you instantly deploy BI to any mobile device. Mobilize your workforce with transaction enabled apps, offline access, and customizable workflows that can be built into mobile productivity apps for iOS and Android. The MicroStrategy platform is made up of five component products: - Desktop: A free, single-user data discovery tool that lets users quickly connect to, explore, and visualize data on either Mac or PC. - Web: A highly interactive, browser-based interface that allows business users to design, consume, and analyze reports and dashboards. - Mobile: A native app for iOS and Android that allows users to access analytics and mobile BI apps from any mobile device. - Architect: A set of development and migration tools that allow IT to architect data models, automate processes, and manage MicroStrategy applications. - Server: A fully-featured server infrastructure designed to support all styles of analytics, scale to hundreds of thousands of users, and offer sub-second performance.",,,Anlalytics,N/A
Oracle Analytics Cloud,"Oracle Analytics Cloud is a comprehensive cloud analytics platform that empowers you to fundamentally change how you analyze and act on information. Get the benefits of machine learning, AI, autonomous analytics, smart data access, and service automation in a single solution that breaks down the barriers between people, places, data, and systems. Ask any question of any data, on any device, at any time with self-service data visualization, preparation, and enrichment; enterprise reporting and advanced analytics; dynamic user-driven what-if modeling; autonomous analytics delivering proactive insights to your mobile device; voice-driven analysis; augmented reality; and much more. Oracle Analytics Cloud (OAC) includes the following services: - Data Visualization Cloud Service - Data Visualization in OAC, any edition - Data Visualization Desktop - Business Intelligence Cloud Service - Business Intelligence in OAC, Enterprise Edition - Mobile apps Day by Day and Synopsis Hybrid capabilities seamlessly connect these cloud services to their on-premises counterparts, Business Intelligence Foundation Suite and Essbase, so you can access and analyze data in the environment that’s best for you.",,,Anlalytics,N/A
Domo,"Domo provides the “world’s first business management platform” where users can access and perform analytics and report from one platform. Similar to other BI products we’ve reviewed, Domo is designed to be available for all business users, regardless of technical expertise, to help them make better business decisions.

Other benefits of Domo include:

More efficient decision-making
Better collaboration/fewer meetings
Ability to access data anywhere at any time
More empowered employees
Domo provides customized solutions aimed at roles (CEO, Finance, IT, Marketing, Sales, etc.), industry, and data connectors (such as Facebook, Twitter, Google Sheets, Zendesk, Salesforce and Excel).

Domo’s Business Cloud is the world’s first open, self-service platform to run an entire organization. The Business Cloud brings together the data, the people, and the insights business users need to find answers to critical business questions and make faster, better-informed decisions to improve business performance.",,,Anlalytics,N/A
Sisense,"Sisense is an end-to-end business analytics software that enables users to easily prepare and analyze complex data, covering the full scope of analysis from data integration to visualization.PRODUCT STRATEGY Business users, analysts, engineers, and developers collaborate on one platform to drive digital transformation both within and outside the organization. FUTURE PROOF ARCHITECTURE A containerized, microservices architecture alongside our Windows offering supports modern DevOps with single to multi-tenant deployments on any cloud, on-prem or managed service solution. ANALYZE ALL YOUR DATA AT THE RIGHT TIME A robust set of tools quickly and securely optimize raw data to insights. Connect live to cloud data warehouses or easily mashup and cache disparate data for performance and ease-of-use. AI THROUGHOUT Sisense's AI capabilities accelerate the manual and time-consuming process of data preparation and surface new insights and hard to detect patterns in data to all users without advanced skills. Deliver custom models using SQL, Python, and R. DEVELOPER EXPERIENCE An extensive suite of APIs and Developer Toolkits deliver incredible flexibility to rapidly launch integrated embedded analytics tailored to specific business requirements. The Sisense data & analytics platform makes it incredibly easy to mashup data from across your entire data landscape and transform it into powerful, actionable analytics applications that can be embedded anywhere. From innovative startups to global brands like GE, Wix, Nasdaq, and Philips, thousands of organizations worldwide use Sisense to accelerate innovation and drive digital transformation by embedding Sisense into their businesses.

Whether your data is in the cloud, on-prem, or a mix of both, Sisense gives you everything you need to successfully deliver on your analytics application strategy today, allowing you to: 
 
-Securely connect and ingest data into cloud data warehouses to create a single store for your data.

-Mashup data from dozens of sources for a complete view of your business.

-Leverage a combination of live or cached data models to optimize performance and manage resource utilization.

-Build beautiful visualizations and actionable application components using the robust library of integrated widgets and certified add-ons.

-Develop and white-label with ease using a full suite of APIs and developer toolkits.

-Differentiate products and services with fully integrated, white-label analytics in the office or on mobile devices for users on the go.
 
Whether you are trying to increase analytic maturity of the internal operations of an organization or trying to improve an organization’s products and services by infusing them with analytics, the Sisense Single-Stack™ approach gives you everything you need to move from complex data to branded, embedded analytics that your users will love. Sisense helps you go beyond the dashboard from web portals to custom applications — even chatbots and Alexa — all while delivering industry-leading customer service and the lowest TCO at scale.",,,Anlalytics,N/A
Klipfolio,"Klipfolio is a cloud app for creating dashboards, reports and performing visual analysis. Klipfolio helps you stay in control of your business by giving you visibility into your most important data and metrics, wherever you are. Virtually any data source you’ve got, on premise or in the cloud. From web services, to files stored on your computer, servers, or in your data warehouse, Klipfolio’s simple, flexible data architecture enables you to connect to all the data you care about. Klipfolio supports direct connections to over 100 cloud applications like Facebook, Twitter, Moz, Pingdom, Salesforce, Marketo, Google Analytics, Google Adwords, Xero, HubSpot and more. Browse all the web services we support in our Integration Gallery.Connect your Klipfolio dashboard with Excel, CSV and XML files from your computer, and FTP and SFTP files from your server. You can also connect to data via DropBox, Box, and Google Drive file sharing services.You can connect your Klipfolio dashboard with MSSQL, MySQL, Oracle Thin, Oracle OCI, Sybase SQL Anywhere, PostgreSQL, Firebird and DB2. Klipfolio is a cloud-based business dashboard application tool that makes critical data accessible, visible, and transparent. This simple yet very powerful business data platform that allows businesses to turn their company data accessible and visible to their people, with all information updated constantly for real-time accuracy. The software is connected to over 500 data sources, including web-based services such as Google Analytics, social media platforms like Moz and Twitter, on-premise data warehouses.

Klipfolio also presents data in a very detailed way via beautiful and customizable dashboards, enabling users to collect the information they need to make better business decisions. With such a powerful business data dashboard, businesses are able to monitor the health of their business continuously without expending so much effort, time, and money. Issue Indicators
Predictive Analytics
Trend Indicators
Automatic Scheduled Reporting
Customizable Dashboard
Customizable Features
Financial Forecast/Budget
Graphic Benchmark Tools",,,Anlalytics,Business Intelligence
Salesforce Einstein Analytics,"Salesforce Einstein Analytics is a cloud-based business intelligence solutions and analytics service from San Francisco-based software company, Salesforce. It provides users with automated data discovery, CRM-connected analytics, top-down views of data, augmented analytics, predictive insights, and customizable data visualization tools.

Einstein Analytics allows users to explore data quickly and easily by providing AI-powered analytics while working in Salesforce, its CRM management offering. Manage your datasets, query data with Salesforce Analytics Query Language (SAQL), and customize dashboards, all programmatically.

In addition to offering pre-built apps for Sales, Service, and Marketing, the Einstein Analytics Platform provides:

Customizable intelligent analytics apps, including templates, dashboards, and widgets
Utilization of Einstein Analytics APIs and SDKs for improving apps
Connection to outside data sources to see all data in one place
Buildable widgets for summarizing data
Built-in data visualization features",,,Anlalytics,"CRM,Business Intelligence"
Qlik Sense,"Qlik Sense is a platform for modern, self-service analytics, driving discovery and data literacy for all types of users across an organization. It supports the full range of analytics use cases - from self-service visualization and exploration to guided analytics apps and dashboards, custom and embedded analytics, mobile analytics, and reporting. And, it does this within a governed, multi-cloud architecture that delivers maximum trust, scale, and flexibility for the organization. Qlik Sense provides an enterprise analytics platform that empower everyone. It features unmatched associative exploration and search; smart visualizations; self-service creation and data preparation; geographic and advanced analytics; collaboration; storytelling and reporting; fully interactive online and offline mobility; and a new Insight Advisor that generates the most relevant charts and insights using AI. And for the enterprise, Qlik Sense includes open and standard APIs for customization and extension, powerful data integration, broad data connectivity and data as-a-service, centralized management and governance, and a new multi-cloud architecture for scalability across on-premises, private, and public cloud environments. The unique Qlik Associative Engine empowers users of all skill levels to combine data and explore information without the limitations of query-based tools. Qlik Sense brings together our associative engine with a new cognitive engine that adds AI insight suggestions and automation to the experience, in context with user behavior. Available for both on-premises and multi-cloud deployment. Qlik offer’s Qlik Sense Cloud, our SaaS-based offering for groups and teams to build and share analytics online.",,,Anlalytics,Visualization
Geckoboard,"Quick-to-setup live TV dashboards that focus your team to improve key metrics. Using Geckoboard, the fastest growing online businesses set goals for their most important metrics and monitor their up-to-the-minute progress towards them on TVs around the office. As a result, they stay focused and optimize their activity to improve key metrics that drive faster growth. Easy & Flexible Data Integration We’ve integrated with 60+ of the most popular tools online businesses use, so anyone can connect to their data and start visualizing key metrics in minutes. For difficult to reach metrics, a developer can create a quick script to pull them in via our API and visualize them using the same simple and clear visualizations. Get set up in hours not weeks, wherever your data is. Intuitive Drag-and-Drop Interface Building effective dashboards in a growing online business is an iterative and evolving process, as projects and key metrics change. A simple drag-and-drop interface makes setup and visualization changes so simple anyone can do it. This saves time getting set up and allows your dashboards to easily evolve as your business grows. Measure Goal Progress Set goals for your key metrics and easily add them to Geckoboard to visualize live progress for your team. At any given time, everyone knows where things stand, has the information they need to perform at their best, and can build a deeper understanding of what actions drive progress towards their targets. Live Data Fast-growing online businesses need to react quickly to a constantly changing marketplace. With Geckoboard, data automatically refreshes as it’s received. Never wait until the end of the week, month or quarter to know how you're performing. Now your team can react quickly when key movements happen to constantly drive growth. iPhone App Our iPhone app presents visualizations of your key metrics in a format that makes them easy to understand on an iOS enabled mobile device. Your team will get hooked and employees on-the-go can still access the numbers they need no matter where they are, to stay on track and drive growth.",,,Anlalytics,Visualization
salesforce-platform-thunder,"The Lightning Platform delivers out-of-the-box tools and services to automate your business processes, integrate with external applications, provide responsive layouts and more. From no-code builders to pro-code tools, the Lightning Platform's enterprise services and metadata-driven, multi-tenant cloud architecture means that you can focus on what makes your business better from the competition.Create custom business logic
The Lightning Platform provides easy ways to create and customize business logic. We make it easy to build entire apps using nothing but clicks with tools including App Builder, Community Builder, and more. And you can turbocharge your business logic and solve hard problems with code tools and frameworks like Apex. Like Java, Apex is an object-oriented language that works in the cloud and has APIs for creating, compiling and debugging code.Customize your user interface
The Lightning Component Framework — a modern framework for developing digital components — uses Apex on the server side and JavaScript on the client side. Drag and drop your components in Lightning App Builder to design your desktop and mobile apps with ease. What you see in Lightning App Builder is what you get, so there won't be questions about you're creating and what your customers are looking.Easily integrate with third-party apps and systems
The power of the Lightning Platform means you can design and build your apps using a variety of strategies. You can use no-code integration capabilities like Salesforce Connect and the new External Services Wizard to immediately link multiple systems. Or you can use a comprehensive suite of REST and SOAP APIs for specialized integration demands.",,,,
Azure IOT Edge,"Azure IoT Edge is a fully managed service built on Azure IoT Hub. Deploy your cloud workloads—artificial intelligence, Azure and third-party services, or your own business logic—to run on Internet of Things (IoT) edge devices via standard containers. By moving certain workloads to the edge of the network, your devices spend less time communicating with the cloud, react more quickly to local changes, and operate reliably even in extended offline periods. Offload AI and analytics workloads to the edge
Deploy models built and trained in the cloud and run them on-premises. For example, if you deploy a predictive model to a factory camera to test for quality control and an issue is detected, IoT Edge triggers an alert and processes the data locally or sends it to the cloud for further analysis. Certified IoT Edge hardware: Works with your Linux or Windows devices that support container engines

Runtime: Free and open-source under the MIT license to give you more control and code flexibility

Modules: Docker-compatible containers from Azure services or Microsoft partners to run your business logic at the edge

Cloud interface: Remotely manage and deploy workloads from the cloud through Azure IoT Hub with zero-touch device provisioning Operate your edge devices reliably and securely, even when they’re offline or they have intermittent connectivity to the cloud. Azure IoT Edge device management automatically syncs the latest state of your devices after they’re reconnected to ensure seamless operability.",,,Anlalytics,IOT
IBM Cognos analytics,"Cognos Analytics is an AI-fueled business intelligence platform that supports the entire analytics cycle, from discovery to operationalization.
Visualize, analyze and share actionable insights about your data with anyone in your organization.Visualize your business performance:
Craft beautiful, interactive dashboards and compelling reports in a single tool
Discover superior visualizations for your data with AI recommendations
Overlay your data on the physical world with geospatial capabilities.

Uncover the patterns hidden in your data:
Cognos Analytics doesn’t just show you a bar chart — it interprets the data for you with AI.
Business users can ask a question in plain language, and receive an actionable answer – no matter the question.
Analysts can use these insights to dive deeper into the data.Collaborate with anyone in your organization:

Cognos Analytics connects to your data in the cloud (or on-prem), so that all of your users access the same data.
Everyone gets the same answers
Capture, annotate and share visuals over email or Slack.
Clean and combine data in minutes:
Import data from spreadsheets, CSV files, cloud or on-premises databases
Use machine learning to automatically discover and combine related data sources into a single, trusted data module
Add new columns to your data; perform calculations; split, reorder and hide columns",,,Anlalytics,Business Intelligence
Forcepoint DLP,"Forcepoint DLP promises to address human-centric risk by providing visibility and control everywhere your people work and everywhere your data resides. Security teams apply user-risk scoring to focus on the events that matter most and to accelerate compliance with global data regulations.

The vendor promises these benefits:
Accelerate compliance
Empower people to protect data
Advanced detection and controls that follow the data

RESPOND AND REMEDIATE RISK
Traditional approaches to DLP overload users with false positives while missing data at risk. Forcepoint DLP applies advanced analytics to correlate seemingly unrelated DLP events into prioritized incidents. Incident Risk Ranking (IRR) provided with Forcepoint DLP fuses disparate DLP indicators into a framework of Bayesian belief networks to assess the likelihood of data risk scenarios, such as data theft and broken business processes.

VISIBILITY EVERYWHERE YOUR PEOPLE WORK, CONTROL EVERYWHERE YOUR DATA RESIDES
Today’s enterprises are challenged with complicated environments, where data is everywhere and requires the protection of data in places that aren’t managed or owned by the enterprise. Forcepoint DLP for Cloud Applications extends analytics and DLP policies to critical cloud applications so your data is protected, wherever it resides.",,,Anlalytics,Audit Management
RSA Archer,"The RSA Archer GRC Platform provides a common foundation for managing policies, controls, risks, assessments and deficiencies across your lines of business. This unified approach eases system complexity, strengthens user adoption and reduces training time. The Platform enables cross-functional collaboration and alignment. Business users across IT, finance, operations and legal domains can work together in an integrated framework using common processes and data. Non-technical users can automate processes, streamline workflow, control user access, tailor the user interface and report in real-time using the point-and-click interface to build and manage business applications. Many times, the audit team cannot focus on helping the business evaluate new risks and opportunities because they are spending time evaluating past performance of controls. Using RSA Archer Audit Management, you can incorporate more of a risk-based approach and collaborate with risk and compliance business partners. You can integrate the appropriate view of risk into evaluation of the most critical areas and controls, allowing you to focus on strategic business initiatives that show the audit team’s value to the organization.

RSA Archer Audit Management provides a variety of use cases to meet your specific business needs and progress in your GRC maturity journey, including: 
RSA Archer Issues Management:
Lays the foundation for your GRC program to manage issues generated by audit, risk and compliance processes. The use case includes the Business Hierarchy to establish the corporate structure and accountability for risk and compliance Issues, and applications to manage findings, remediation plans and exceptions to address risks and associated resolutions.

With RSA Archer Issues Management, you can create a consolidated view into known issues. With an organized, managed process to escalate issues, you get visibility into known risks and efforts to close and address risks. Workflow for proper sign-off and approval for issues, remediation plans and exceptions ensures identified issues are managed and mitigated. You will see quicker reaction to emerging risks creating a more secure and resilient environment while reducing costs. You can view the full use case on RSA.

RSA Archer Issues Management :
Audit Engagements & Workpapers
Perform audit engagements, maintain workpaper documentation, and report on audit results in a consistent, timely manner.Track expense reports and manage timesheets to staff your audit engagements with the right personnel. RSA Archer Audit Engagements & Workpapers helps transform the efficiency of your audit department, complete better scoped audits more quickly, and decrease external audit fees. You can view the full use case on RSA.

Audit Engagements & Workpapers Dashboard:
With RSA Archer Audit Engagement & Workpapers, you will be able to:
Ensure audit engagements and workpapers are performed consistently
Reduce external auditors time and requests by providing allowing them to self-serve the information they need
Easily generate audit reports and findings
Place more focus on risk-based auditing
Provide management and the Board with the information they need
Audit Planning & Quality
Enables internal audit teams to define their audit entities and universe, risk assess them, and plan for audit engagements during the coming year. Since RSA Archer Audit Planning integrates rich management risk and control information, Internal Audit can ensure their audit objectives are aligned with enterprise risk management and other related groups. Audit Planning & Quality puts you in control of the entire audit planning lifecycle, enabling improved governance of audit-related activities while also providing integration with your risk and control functions.

With Audit Planning & Quality, you can:
Execute on a dynamic, risk-driven audit plan that is aligned with the organization’s priorities and focuses on the most important risks
Easily provide Board-level reporting that keeps the audit committee well-informed of the status of audit plans, risk and critical findings
Demonstrate the strategic value of internal audit and more efficient use of audit resources
Reduce external auditor fees by providing access to self-serve information they need.",,,Anlalytics,Audit Management
ServiceNow GRC,"ServiceNow Governance, Risk, and Compliance (GRC) helps transform inefficient processes across your extended enterprise into an integrated risk program. Through continuous monitoring and automation, the GRC applications deliver a real time view of compliance and risk, improve decision making, and increase performance across your organization and with vendors.

Only ServiceNow can connect the business, security, and IT with an integrated risk framework that transforms manual, siloed, and inefficient processes into a unified program built on a single platform. The ServiceNow Audit Management product automates the work streams of internal audits teams, optimizing resources and productivity, and eliminating recurring audit findings. Audit Management uses compliance and risk data to scope, plan, and prioritize audit engagements. The ongoing review of policies and procedures, risks, and control breakdowns provide an opportunity for fixing issues before they become audit failures. The ServiceNow Audit Management application involves a set of activities related to planning audit engagements, executing engagements, and reporting findings to the audit committee and executive board. Engagement reporting assures key stakeholders that the organization's risk and compliance management strategy is effective.Audit Management product allows you to schedule internal audits, conduct resource planning, and scope engagements. You can also conduct audit activities, review continuous monitoring results, and report findings.The Audit Management automates the work streams of internal audit teams, optimizing resources and productivity, and eliminating recurring audit findings. Audit Management uses compliance and risk data to scope, plan, and prioritize audit engagements. The on-going review of policies and procedures, risks, and control breakdowns provide an opportunity for fixing issues before they become audit failures.",,,Anlalytics,Audit Management
Looker,"Looker’s uniquely powerful data platform helps companies get real value from their data. With Looker’s BI solution, everyone in the business can ask sophisticated questions of the data and get insights that make sense.
Define Metrics Once
Looker intelligently generates your base model, allowing you to focus on defining the relationships and metrics that drive your business—all in a single location. Every employee can access a centralized store of accurate, customizable metrics. From your definition of a customer to your version of lifetime value, teams can come together around fresh, actionable data they can trust.
Visualizations That Tell a Story
Create easy-to-read reports and beautiful dashboards that allow users to explore patterns in data. Easily share data-rich visualizations anytime, from any device.
Scale with Today’s Technologies
Today’s databases can easily query massive amounts of data. Because Looker connects directly to your database, you are able to truly leverage that power. No data extracts, no software to download, and virtually no limits on what you can explore.
Build a Data Culture
When the whole company has reliable, trustworthy answers, everyone can answer their own questions and make more informed data-driven decisions. With Looker, companies like Credit Karma, The Economist, and Etsy can now use data to back up every opinion.Applications get your team up and running with Looker faster than ever. If companies don’t want to host their own back-end database, applications for sales analytics, digital marketing analytics, and web analytics make it easy to connect to the data right from Looker.Make every dashboard and report actionable using pre-packaged integrations with top SaaS applications. Send data to tools like Slack, Dropbox, Marketo, and Segment to initiate workflows—and use webhooks and our API to send data anywhere.Bring insights into your favorite SaaS platforms to make data part of every conversation and embed back into tools like Salesforce, Confluence, Sharepoint, and Powerpoint.Be alerted of issues before they become problems. Set alerts for everything from low sales to fraudulent orders to ETL failures. Schedule reports if you know what data you’ll need and when.

Looker’s SQL Runner allows analysts to quickly see what is in their data and send less technical users explorable reports.",,,Anlalytics,Business Intelligence
